,Size,Workers,Mean Completion Time,Type
0,500,1,39616.6,chunks
1,500,1,40507.6,chunks_tp
2,500,1,39679.4,cyclic
3,500,1,38265.8,ff
4,500,2,21293.0,chunks
5,500,2,21871.6,chunks_tp
6,500,2,21709.0,cyclic
7,500,2,21524.0,ff
8,500,4,13337.4,chunks
9,500,4,13465.8,chunks_tp
10,500,4,14191.6,cyclic
11,500,4,17117.6,ff
12,500,8,9922.4,chunks
13,500,8,9690.0,chunks_tp
14,500,8,10423.2,cyclic
15,500,8,11826.0,ff
16,500,16,10806.6,chunks
17,500,16,18181.25,chunks_tp
18,500,16,11330.0,cyclic
19,500,16,10687.4,ff
20,500,32,17092.0,chunks
21,500,32,19088.2,chunks_tp
22,500,32,18530.2,cyclic
23,500,32,13996.8,ff
24,5000,1,4073578.6,chunks
25,5000,1,4052814.6,chunks_tp
26,5000,1,4013054.8,cyclic
27,5000,1,3960447.4,ff
28,5000,2,2030399.0,chunks
29,5000,2,2178349.0,chunks_tp
30,5000,2,2113809.8,cyclic
31,5000,2,2054614.0,ff
32,5000,4,1072207.2,chunks
33,5000,4,1109690.4,chunks_tp
34,5000,4,1165945.0,cyclic
35,5000,4,1485872.6,ff
36,5000,8,548132.8,chunks
37,5000,8,561634.8,chunks_tp
38,5000,8,597758.4,cyclic
39,5000,8,759381.4,ff
40,5000,16,312132.6,chunks
41,5000,16,303105.0,chunks_tp
42,5000,16,320360.8,cyclic
43,5000,16,394984.4,ff
44,5000,32,250330.8,chunks
45,5000,32,243633.4,chunks_tp
46,5000,32,276213.4,cyclic
47,5000,32,264906.6,ff
48,20000,1,64438852.4,chunks
49,20000,1,64459108.0,chunks_tp
50,20000,1,64100651.2,cyclic
51,20000,1,63498428.2,ff
52,20000,2,33278299.6,chunks
53,20000,2,34656469.4,chunks_tp
54,20000,2,34817614.6,cyclic
55,20000,2,32062025.6,ff
56,20000,4,17334195.4,chunks
57,20000,4,17356837.2,chunks_tp
58,20000,4,17676812.8,cyclic
59,20000,4,23593877.4,ff
60,20000,8,8614508.0,chunks
61,20000,8,8647586.2,chunks_tp
62,20000,8,9241722.2,cyclic
63,20000,8,11846922.8,ff
64,20000,16,4492213.0,chunks
65,20000,16,4410797.2,chunks_tp
66,20000,16,4756648.4,cyclic
67,20000,16,6035434.8,ff
68,20000,32,3538047.4,chunks
69,20000,32,3515908.2,chunks_tp
70,20000,32,3514639.8,cyclic
71,20000,32,3710581.4,ff
